1_v4_preference,2_v4_preference,3_v4_preference,4_v4_preference,5_v4_preference,6_v4_preference,7_v4_preference,8_v4_preference,9_v4_preference,10_v4_preference,11_v4_preference,12_v4_preference,13_v4_preference,14_v4_preference,15_v4_preference,16_v4_preference,17_v4_preference,18_v4_preference,19_v4_preference,20_v4_preference,21_v4_preference,22_v4_preference,23_v4_preference,24_v4_preference,25_v4_preference,26_v4_preference,27_v4_preference,28_v4_preference,29_v4_preference,30_v4_preference,31_v4_preference,32_v4_preference,33_v4_preference,34_v4_preference,35_v4_preference,36_v4_preference,37_v4_preference,38_v4_preference,39_v4_preference,40_v4_preference,41_v4_preference,42_v4_preference,43_v4_preference,44_v4_preference,45_v4_preference,46_v4_preference,47_v4_preference,48_v4_preference,49_v4_preference,50_v4_preference,51_v4_preference,52_v4_preference,53_v4_preference,54_v4_preference,55_v4_preference,56_v4_preference,57_v4_preference,58_v4_preference,59_v4_preference,60_v4_preference,1_v8_preference,2_v8_preference,3_v8_preference,4_v8_preference,5_v8_preference,6_v8_preference,7_v8_preference,8_v8_preference,9_v8_preference,10_v8_preference,11_v8_preference,12_v8_preference,13_v8_preference,14_v8_preference,15_v8_preference,16_v8_preference,17_v8_preference,18_v8_preference,19_v8_preference,20_v8_preference,21_v8_preference,22_v8_preference,23_v8_preference,24_v8_preference,25_v8_preference,26_v8_preference,27_v8_preference,28_v8_preference,29_v8_preference,30_v8_preference,31_v8_preference,32_v8_preference,33_v8_preference,34_v8_preference,35_v8_preference,36_v8_preference,37_v8_preference,38_v8_preference,39_v8_preference,40_v8_preference,41_v8_preference,42_v8_preference,43_v8_preference,44_v8_preference,45_v8_preference,46_v8_preference,47_v8_preference,48_v8_preference,49_v8_preference,50_v8_preference,51_v8_preference,52_v8_preference,53_v8_preference,54_v8_preference,55_v8_preference,56_v8_preference,57_v8_preference,58_v8_preference,59_v8_preference,60_v8_preference,1_v3_preference,2_v3_preference,3_v3_preference,4_v3_preference,5_v3_preference,6_v3_preference,7_v3_preference,8_v3_preference,9_v3_preference,10_v3_preference,11_v3_preference,12_v3_preference,13_v3_preference,14_v3_preference,15_v3_preference,16_v3_preference,17_v3_preference,18_v3_preference,19_v3_preference,20_v3_preference,21_v3_preference,22_v3_preference,23_v3_preference,24_v3_preference,25_v3_preference,26_v3_preference,27_v3_preference,28_v3_preference,29_v3_preference,30_v3_preference,31_v3_preference,32_v3_preference,33_v3_preference,34_v3_preference,35_v3_preference,36_v3_preference,37_v3_preference,38_v3_preference,39_v3_preference,40_v3_preference,41_v3_preference,42_v3_preference,43_v3_preference,44_v3_preference,45_v3_preference,46_v3_preference,47_v3_preference,48_v3_preference,49_v3_preference,50_v3_preference,51_v3_preference,52_v3_preference,53_v3_preference,54_v3_preference,55_v3_preference,56_v3_preference,57_v3_preference,58_v3_preference,59_v3_preference,60_v3_preference,explain 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I was asked to read a paragraph about fashion trends increasing in Jarev since 2010, and then read and evaluate statements that others had submitted as explanations for the increase in fashion trends. I had to pick which statement was most likely and believable from a pair. "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To choose which explanation is better.
1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To choose between two answers that I thought made the most sense.
1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Read a situation and then choose explanations for it - choosing between two choices, we chose the one mostly likely to happen"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read about clothing consumption and then choose which answer made more sense in explaining the scenario
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decide which reason was more likely
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge the responses to why their has been a change in fashion cycles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chose between two explanations for fashion trends
1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read a scenario and pick the most likely to be correct explanation of a question related to the scenario
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,Choose which of the two explanations from previous survey takers opinions were more likely to be the cause of the violence.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"With the same vignette about increased output of fashion trends in Jirev, I had to determine between two explanations which one was better. This was repeated many times. "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,I was asked to read a vignette and then pick the most likely reason the crowd turned violent.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,Read a scenario and choose an explanation of what happened based on different descriptions
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked to choose which explanation was more likely between two choices
1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Read a vignette about a small group of people with strong, controversial opinions, who are posting on social media and gaining more attention than their numbers would seem to justify. We read pairs of proposed reasons why this may be occurring and chose the reason from each pair we found most likely."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evaluate the better response of two responses to a question 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"From two reasons given, I was asked to choose which one was a better explanation/more likely to be true to explain why people in a fictional place change out their clothes more often than once per season, as they used to do."
1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Read many answers to a question that was asked, two at a time, and choose which seems best."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What would likely drive turnover of wardrobes faster now than ever before
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,"Read a scenario, and two possible explanations. Then I chose what I thought was the best explanation out of each pair."
1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evaluate a vingrrette about social movement in Gridland
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Given two possible explanations for a scenario answer which is more likely to be the cause/reasoning.
1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To pick which statement is most likely given the scenario
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,Read 2 explanations for a why a protest turned violent and to pick the one that is the most likely
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,Choose which of two outcomes were more likely given the scenario.
1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked which of the two provided answers to to the prompt seemed more likely.
1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,choose which best describes why things are happening in that example and the motivation
1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked to read a blurb and understand it in my own way. Then I was presented with several pairs of other interpretations and I had to what I believed was closest to what was said in the blurb.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determine which description was more accurate of the situation described in the vignette. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pick one of two choices that best descires a vignette
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,2,choose the most likey cause of a scenario during a protest
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick the best explanation for an event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked to choose which explanation was more likely for a scenario. 
1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To evaluate two statments and pick which one is a better explanation for the scnerio that was presented.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,answer which of the two explainations were more likely to be ture.
1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choose between two scenarios relating to a vignette based on which we felt was more likely. 
1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked to explain varying user explanations of the same vignette
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked to pick the best explanation for a fashion scenario.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked to read explanations for a phenomenon written by others and select the explanation that was better and more likely.
2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To say which explanation was more convincing.
1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rate which statement was better between the 2 opinions
1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decide which explanation was more likely.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I was asked to read a vignette describing a phenomenon, read pairs of explanations for the phenomenon and pick the likelier explanation for each pair"
1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ask to select one of two options that best relate to the vignette. 
1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I read about a situation and then saw matched pairs of explanations for that situation, picking whichever one I felt best explained the situation."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Read fictional vignettes, and then evaluate 60 different explanation-pairs for what led to that situation"
